comment,commission,entry_type,magic,order,price,profit,swap,symbol,ticket,time,type,volume,close_time,side,net_profit,abs_net_profit,net_profit_per_lot,is_buy,is_sell,volume_log,magic_is_tradepy,close_date,close_hour,close_weekday,close_month,comment_has_tp_tag,comment_has_sl_tag,label_win,label_loss,label_big_win,label_big_loss
[tp 88796.32000],0.0,1,234000,0,88796.32,2.75,0.0,BTCUSDm,1762445762,2026-01-25T04:30:47,BUY,0.01,2026-01-25 04:30:47,BUY,2.75,2.75,275.0,1,0,-4.605170185988091,1,2026-01-25,4,6,1,1,0,1,0,0,0
[tp 88781.13000],0.0,1,234000,0,88781.13,2.94,0.0,BTCUSDm,1762446139,2026-01-25T04:30:48,BUY,0.01,2026-01-25 04:30:48,BUY,2.94,2.94,294.0,1,0,-4.605170185988091,1,2026-01-25,4,6,1,1,0,1,0,0,0
[tp 88754.17000],0.0,1,234000,0,88754.17,2.34,0.0,BTCUSDm,1762446775,2026-01-25T04:30:54,BUY,0.01,2026-01-25 04:30:54,BUY,2.34,2.34,233.99999999999997,1,0,-4.605170185988091,1,2026-01-25,4,6,1,1,0,1,0,0,0
,0.0,1,0,2234604565,88830.8,-0.88,0.0,BTCUSDm,1762450309,2026-01-25T04:40:57,BUY,0.01,2026-01-25 04:40:57,BUY,-0.88,0.88,-88.0,1,0,-4.605170185988091,0,2026-01-25,4,6,1,0,0,0,1,0,0
,0.0,1,0,2235160185,87204.8,0.03,0.0,BTCUSDm,1763020786,2026-01-25T20:03:24,SELL,0.01,2026-01-25 20:03:24,SELL,0.03,0.03,3.0,0,1,-4.605170185988091,0,2026-01-25,20,6,1,0,0,1,0,0,0
[tp 4952.31100],0.0,1,234000,0,4952.311,107.03,0.0,XAUUSDm,1795531046,2026-01-30T10:45:33,BUY,0.01,2026-01-30 10:45:33,BUY,107.03,107.03,10703.0,1,0,-4.605170185988091,1,2026-01-30,10,4,1,1,0,1,0,1,0
[sl 5052.31700],0.0,1,234000,0,5052.317,-71.78,0.0,XAUUSDm,1795682123,2026-01-30T11:03:22,BUY,0.01,2026-01-30 11:03:22,BUY,-71.78,71.78,-7178.0,1,0,-4.605170185988091,1,2026-01-30,11,4,1,0,1,0,1,0,1
[sl 82487.96000],0.0,1,234000,0,82489.77,-3.48,0.0,BTCUSDm,1795877014,2026-01-30T11:26:28,BUY,0.01,2026-01-30 11:26:28,BUY,-3.48,3.48,-348.0,1,0,-4.605170185988091,1,2026-01-30,11,4,1,0,1,0,1,0,0
[sl 82991.80000],0.0,1,234000,0,82991.8,-3.52,0.0,BTCUSDm,1797616063,2026-01-30T15:11:29,BUY,0.01,2026-01-30 15:11:29,BUY,-3.52,3.52,-352.0,1,0,-4.605170185988091,1,2026-01-30,15,4,1,0,1,0,1,0,0
[sl 5107.22800],0.0,1,234000,0,5107.228,-54.51,0.0,XAUUSDm,1797823290,2026-01-30T15:34:00,BUY,0.01,2026-01-30 15:34:00,BUY,-54.51,54.51,-5451.0,1,0,-4.605170185988091,1,2026-01-30,15,4,1,0,1,0,1,0,1
[tp 1.18912],0.0,1,234000,0,1.18912,2.44,0.0,EURUSDm,1798125433,2026-01-30T16:04:00,BUY,0.01,2026-01-30 16:04:00,BUY,2.44,2.44,244.0,1,0,-4.605170185988091,1,2026-01-30,16,4,1,1,0,1,0,0,0
