dataset_row_id,meta_close_time,meta_close_date,meta_ticket,meta_order,meta_comment,symbol,side,volume,volume_log,magic_is_tradepy,trade_count_before,global_trade_count_before,global_total_pnl_before,global_avg_pnl_before,global_win_rate_before,global_profit_factor_before,global_consecutive_wins_before,global_consecutive_losses_before,global_current_drawdown_before,global_max_drawdown_before,global_pnl_5_before,global_avg_pnl_5_before,global_win_rate_5_before,global_loss_rate_5_before,global_profit_factor_5_before,global_pnl_std_5_before,global_pnl_10_before,global_avg_pnl_10_before,global_win_rate_10_before,global_loss_rate_10_before,global_profit_factor_10_before,global_pnl_std_10_before,global_pnl_20_before,global_avg_pnl_20_before,global_win_rate_20_before,global_loss_rate_20_before,global_profit_factor_20_before,global_pnl_std_20_before,global_pnl_50_before,global_avg_pnl_50_before,global_win_rate_50_before,global_loss_rate_50_before,global_profit_factor_50_before,global_pnl_std_50_before,symbol_trade_count_before,symbol_total_pnl_before,symbol_avg_pnl_before,symbol_win_rate_before,symbol_profit_factor_before,symbol_consecutive_wins_before,symbol_consecutive_losses_before,symbol_current_drawdown_before,symbol_max_drawdown_before,symbol_pnl_5_before,symbol_avg_pnl_5_before,symbol_win_rate_5_before,symbol_loss_rate_5_before,symbol_profit_factor_5_before,symbol_pnl_std_5_before,symbol_pnl_10_before,symbol_avg_pnl_10_before,symbol_win_rate_10_before,symbol_loss_rate_10_before,symbol_profit_factor_10_before,symbol_pnl_std_10_before,symbol_pnl_20_before,symbol_avg_pnl_20_before,symbol_win_rate_20_before,symbol_loss_rate_20_before,symbol_profit_factor_20_before,symbol_pnl_std_20_before,symbol_pnl_50_before,symbol_avg_pnl_50_before,symbol_win_rate_50_before,symbol_loss_rate_50_before,symbol_profit_factor_50_before,symbol_pnl_std_50_before,side_trade_count_before,side_total_pnl_before,side_avg_pnl_before,side_win_rate_before,side_profit_factor_before,side_consecutive_wins_before,side_consecutive_losses_before,side_current_drawdown_before,side_max_drawdown_before,side_pnl_5_before,side_avg_pnl_5_before,side_win_rate_5_before,side_loss_rate_5_before,side_profit_factor_5_before,side_pnl_std_5_before,side_pnl_10_before,side_avg_pnl_10_before,side_win_rate_10_before,side_loss_rate_10_before,side_profit_factor_10_before,side_pnl_std_10_before,side_pnl_20_before,side_avg_pnl_20_before,side_win_rate_20_before,side_loss_rate_20_before,side_profit_factor_20_before,side_pnl_std_20_before,side_pnl_50_before,side_avg_pnl_50_before,side_win_rate_50_before,side_loss_rate_50_before,side_profit_factor_50_before,side_pnl_std_50_before,label_win,label_loss,label_big_win,label_big_loss,target_net_profit,target_abs_net_profit,target_net_profit_per_lot,meta_close_hour,meta_close_weekday,meta_close_month,meta_price,meta_comment_has_tp_tag,meta_comment_has_sl_tag,meta_profit,meta_commission,meta_swap,meta_entry_type
0,2026-01-25T04:30:47,2026-01-25,1762445762,0,[tp 88796.32000],BTCUSDm,BUY,0.01,-4.605170185988091,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2.75,2.75,275.0,4,6,1,88796.32,1,0,2.75,0.0,0.0,1
1,2026-01-25T04:30:48,2026-01-25,1762446139,0,[tp 88781.13000],BTCUSDm,BUY,0.01,-4.605170185988091,1,1.0,1.0,2.75,2.75,1.0,10.0,1.0,0.0,0.0,0.0,2.75,2.75,1.0,0.0,10.0,0.0,2.75,2.75,1.0,0.0,10.0,0.0,2.75,2.75,1.0,0.0,10.0,0.0,2.75,2.75,1.0,0.0,10.0,0.0,1.0,2.75,2.75,1.0,10.0,1.0,0.0,0.0,0.0,2.75,2.75,1.0,0.0,10.0,0.0,2.75,2.75,1.0,0.0,10.0,0.0,2.75,2.75,1.0,0.0,10.0,0.0,2.75,2.75,1.0,0.0,10.0,0.0,1.0,2.75,2.75,1.0,10.0,1.0,0.0,0.0,0.0,2.75,2.75,1.0,0.0,10.0,0.0,2.75,2.75,1.0,0.0,10.0,0.0,2.75,2.75,1.0,0.0,10.0,0.0,2.75,2.75,1.0,0.0,10.0,0.0,1,0,0,0,2.94,2.94,294.0,4,6,1,88781.13,1,0,2.94,0.0,0.0,1
2,2026-01-25T04:30:54,2026-01-25,1762446775,0,[tp 88754.17000],BTCUSDm,BUY,0.01,-4.605170185988091,1,2.0,2.0,5.69,2.845,1.0,10.0,2.0,0.0,0.0,0.0,5.69,2.845,1.0,0.0,10.0,0.095,5.69,2.845,1.0,0.0,10.0,0.095,5.69,2.845,1.0,0.0,10.0,0.095,5.69,2.845,1.0,0.0,10.0,0.095,2.0,5.69,2.845,1.0,10.0,2.0,0.0,0.0,0.0,5.69,2.845,1.0,0.0,10.0,0.095,5.69,2.845,1.0,0.0,10.0,0.095,5.69,2.845,1.0,0.0,10.0,0.095,5.69,2.845,1.0,0.0,10.0,0.095,2.0,5.69,2.845,1.0,10.0,2.0,0.0,0.0,0.0,5.69,2.845,1.0,0.0,10.0,0.095,5.69,2.845,1.0,0.0,10.0,0.095,5.69,2.845,1.0,0.0,10.0,0.095,5.69,2.845,1.0,0.0,10.0,0.095,1,0,0,0,2.34,2.34,234.0,4,6,1,88754.17,1,0,2.34,0.0,0.0,1
3,2026-01-25T04:40:57,2026-01-25,1762450309,2234604565,,BTCUSDm,BUY,0.01,-4.605170185988091,0,3.0,3.0,8.03,2.676667,1.0,10.0,3.0,0.0,0.0,0.0,8.03,2.676667,1.0,0.0,10.0,0.250377,8.03,2.676667,1.0,0.0,10.0,0.250377,8.03,2.676667,1.0,0.0,10.0,0.250377,8.03,2.676667,1.0,0.0,10.0,0.250377,3.0,8.03,2.676667,1.0,10.0,3.0,0.0,0.0,0.0,8.03,2.676667,1.0,0.0,10.0,0.250377,8.03,2.676667,1.0,0.0,10.0,0.250377,8.03,2.676667,1.0,0.0,10.0,0.250377,8.03,2.676667,1.0,0.0,10.0,0.250377,3.0,8.03,2.676667,1.0,10.0,3.0,0.0,0.0,0.0,8.03,2.676667,1.0,0.0,10.0,0.250377,8.03,2.676667,1.0,0.0,10.0,0.250377,8.03,2.676667,1.0,0.0,10.0,0.250377,8.03,2.676667,1.0,0.0,10.0,0.250377,0,1,0,0,-0.88,0.88,-88.0,4,6,1,88830.8,0,0,-0.88,0.0,0.0,1
4,2026-01-25T20:03:24,2026-01-25,1763020786,2235160185,,BTCUSDm,SELL,0.01,-4.605170185988091,0,4.0,4.0,7.15,1.7875,0.75,9.125,0.0,1.0,-0.88,-0.88,7.15,1.7875,0.75,0.25,9.125,1.555271,7.15,1.7875,0.75,0.25,9.125,1.555271,7.15,1.7875,0.75,0.25,9.125,1.555271,7.15,1.7875,0.75,0.25,9.125,1.555271,4.0,7.15,1.7875,0.75,9.125,0.0,1.0,-0.88,-0.88,7.15,1.7875,0.75,0.25,9.125,1.555271,7.15,1.7875,0.75,0.25,9.125,1.555271,7.15,1.7875,0.75,0.25,9.125,1.555271,7.15,1.7875,0.75,0.25,9.125,1.555271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.03,0.03,3.0,20,6,1,87204.8,0,0,0.03,0.0,0.0,1
5,2026-01-30T10:45:33,2026-01-30,1795531046,0,[tp 4952.31100],XAUUSDm,BUY,0.01,-4.605170185988091,1,5.0,5.0,7.18,1.436,0.8,9.159091,1.0,0.0,-0.85,-0.88,7.18,1.436,0.8,0.2,9.159091,1.558622,7.18,1.436,0.8,0.2,9.159091,1.558622,7.18,1.436,0.8,0.2,9.159091,1.558622,7.18,1.436,0.8,0.2,9.159091,1.558622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.15,1.7875,0.75,9.125,0.0,1.0,-0.88,-0.88,7.15,1.7875,0.75,0.25,9.125,1.555271,7.15,1.7875,0.75,0.25,9.125,1.555271,7.15,1.7875,0.75,0.25,9.125,1.555271,7.15,1.7875,0.75,0.25,9.125,1.555271,1,0,1,0,107.03,107.03,10703.0,10,4,1,4952.311,1,0,107.03,0.0,0.0,1
6,2026-01-30T11:03:22,2026-01-30,1795682123,0,[sl 5052.31700],XAUUSDm,BUY,0.01,-4.605170185988091,1,6.0,6.0,114.21,19.035,0.833333,10.0,2.0,0.0,0.0,-0.88,111.46,22.292,0.8,0.2,10.0,42.392568,114.21,19.035,0.833333,0.166667,10.0,39.378274,114.21,19.035,0.833333,0.166667,10.0,39.378274,114.21,19.035,0.833333,0.166667,10.0,39.378274,1.0,107.03,107.03,1.0,10.0,1.0,0.0,0.0,0.0,107.03,107.03,1.0,0.0,10.0,0.0,107.03,107.03,1.0,0.0,10.0,0.0,107.03,107.03,1.0,0.0,10.0,0.0,107.03,107.03,1.0,0.0,10.0,0.0,5.0,114.18,22.836,0.8,10.0,1.0,0.0,0.0,-0.88,114.18,22.836,0.8,0.2,10.0,42.119977,114.18,22.836,0.8,0.2,10.0,42.119977,114.18,22.836,0.8,0.2,10.0,42.119977,114.18,22.836,0.8,0.2,10.0,42.119977,0,1,0,1,-71.78,71.78,-7178.0,11,4,1,5052.317,0,1,-71.78,0.0,0.0,1
7,2026-01-30T11:26:28,2026-01-30,1795877014,0,[sl 82487.96000],BTCUSDm,BUY,0.01,-4.605170185988091,1,7.0,7.0,42.43,6.061429,0.714286,1.583953,0.0,1.0,-71.78,-71.78,36.74,7.348,0.6,0.4,1.505643,57.173551,42.43,6.061429,0.714286,0.285714,1.583953,48.363298,42.43,6.061429,0.714286,0.285714,1.583953,48.363298,42.43,6.061429,0.714286,0.285714,1.583953,48.363298,5.0,7.18,1.436,0.8,9.159091,1.0,0.0,-0.85,-0.88,7.18,1.436,0.8,0.2,9.159091,1.558622,7.18,1.436,0.8,0.2,9.159091,1.558622,7.18,1.436,0.8,0.2,9.159091,1.558622,7.18,1.436,0.8,0.2,9.159091,1.558622,6.0,42.4,7.066667,0.666667,1.58354,0.0,1.0,-71.78,-71.78,39.65,7.93,0.6,0.4,1.545692,57.110872,42.4,7.066667,0.666667,0.333333,1.58354,52.170584,42.4,7.066667,0.666667,0.333333,1.58354,52.170584,42.4,7.066667,0.666667,0.333333,1.58354,52.170584,0,1,0,0,-3.48,3.48,-348.0,11,4,1,82489.77,0,1,-3.48,0.0,0.0,1
8,2026-01-30T15:11:29,2026-01-30,1797616063,0,[sl 82991.80000],BTCUSDm,BUY,0.01,-4.605170185988091,1,8.0,8.0,38.95,4.86875,0.625,1.511558,0.0,2.0,-75.26,-75.26,30.92,6.184,0.4,0.6,1.406094,57.322711,38.95,4.86875,0.625,0.375,1.511558,45.34964,38.95,4.86875,0.625,0.375,1.511558,45.34964,38.95,4.86875,0.625,0.375,1.511558,45.34964,6.0,3.7,0.616667,0.666667,1.848624,0.0,1.0,-4.33,-4.33,0.95,0.19,0.6,0.4,1.21789,2.316221,3.7,0.616667,0.666667,0.333333,1.848624,2.319689,3.7,0.616667,0.666667,0.333333,1.848624,2.319689,3.7,0.616667,0.666667,0.333333,1.848624,2.319689,7.0,38.92,5.56,0.571429,1.511164,0.0,2.0,-75.26,-75.26,33.23,6.646,0.4,0.6,1.436433,57.280543,38.92,5.56,0.571429,0.428571,1.511164,48.441365,38.92,5.56,0.571429,0.428571,1.511164,48.441365,38.92,5.56,0.571429,0.428571,1.511164,48.441365,0,1,0,0,-3.52,3.52,-352.0,15,4,1,82991.8,0,1,-3.52,0.0,0.0,1
9,2026-01-30T15:34:00,2026-01-30,1797823290,0,[sl 5107.22800],XAUUSDm,BUY,0.01,-4.605170185988091,1,9.0,9.0,35.43,3.936667,0.555556,1.444765,0.0,3.0,-78.78,-78.78,28.28,5.656,0.4,0.6,1.358974,57.397455,35.43,3.936667,0.555556,0.444444,1.444765,42.837251,35.43,3.936667,0.555556,0.444444,1.444765,42.837251,35.43,3.936667,0.555556,0.444444,1.444765,42.837251,2.0,35.25,17.625,0.5,1.491084,0.0,1.0,-71.78,-71.78,35.25,17.625,0.5,0.5,1.491084,89.405,35.25,17.625,0.5,0.5,1.491084,89.405,35.25,17.625,0.5,0.5,1.491084,89.405,35.25,17.625,0.5,0.5,1.491084,89.405,8.0,35.4,4.425,0.5,1.444389,0.0,3.0,-78.78,-78.78,27.37,5.474,0.2,0.8,1.343585,57.416446,35.4,4.425,0.5,0.5,1.444389,45.412142,35.4,4.425,0.5,0.5,1.444389,45.412142,35.4,4.425,0.5,0.5,1.444389,45.412142,0,1,0,1,-54.51,54.51,-5451.0,15,4,1,5107.228,0,1,-54.51,0.0,0.0,1
